"Имя","Описание","Категории","Изображения","Базовая цена","Артикул","Цвет","Объем","Количество","Тип Товара"
"1 флакон 7.5 мл UR SUGAR Soak Off UV гель-лак Green Series Pure Nail Art Гель-лак 681-696","
 Specification:
Capacity: 7.5ml
Quantity: 1 bottle
Color: 16 colors avalaible, as the pictures show

Package Contents:
1 Bottle 7.5ml UR SUGAR Nail UV Gel Polish

Feature:
100% new retail and high quality
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.
 
","nail gel > color gel polish","https://www.bornprettystore.com/images/ProPho/40918/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40918/1.jpg, https://www.bornprettystore.com/images/ProPho/40918/2.jpg, https://www.bornprettystore.com/images/ProPho/40918/3.jpg, https://www.bornprettystore.com/images/ProPho/40918/4.jpg","358.8","40918","16 цветов доступны, как показывают фотографии","7.5ml","1 бутылка",""
"1 Шт. Вода Наклейки Цветочные Листья Слайдер Передача Наклейки Для Ногтей Nail Art Wraps DIY Стикер","
 Specification:
Quantity: 1 Sheet Water Decals
Color: As the picture shows

Package Contents:
1 sheet Water Decals

Feature:
100% brand new and high quality
Nail decoration
Easy to apply on natural or artificial nails

Nails Application:
1. Trim, clean and polish the fingernails; paint the background color on the fingernails and dry it out.
2. Remove the film of product, cut out the patter and plunge it into water 10-20 seconds.
3. Moisten the fingernails, stick the patter in position.
4. Sop up the water with a paper towel and blow dry.
5. Cap with clear nail polish and blow dry.

Warning: keep away from children. 
","stickers decals > water decals","https://www.bornprettystore.com/images/ProPho/48142/dsc.jpg, https://www.bornprettystore.com/images/ProPho/48142/1.jpg, https://www.bornprettystore.com/images/ProPho/48142/2.jpg, https://www.bornprettystore.com/images/ProPho/48142/3.jpg, https://www.bornprettystore.com/images/ProPho/48142/4.jpg","274.8","48142","Как на изображении товара","","1 лист воды наклейки",""
"NICOLE DIARY 1 бутылка гель для ногтей Bling блестки замочить маникюр ногтей УФ-гель-лак 7 цветов","
 Specification:

Quantity: 1 Bottle  

Capacity: approx. 8ml

Color: as the pictures show

 

Package Contents:

1 Bottle 8ml NICOLE DIARY Starriness Gel

 

Feature:

100% new retail and high quality.

Suitable to apply on UV gel nails, acrylic nails and natural nails etc.

Help strengthen your nails with a durable shiny coat.

Perfect for both professional use and personal use.

 

Note: 

Neither base coat nor top coat is needed.

 

NOTICE: 

Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible)

 
","nail gel > glitter gel polish","https://www.bornprettystore.com/images/ProPho/47822/dsc.jpg, https://www.bornprettystore.com/images/ProPho/47822/1.jpg, https://www.bornprettystore.com/images/ProPho/47822/2.jpg, https://www.bornprettystore.com/images/ProPho/47822/3.jpg, https://www.bornprettystore.com/images/ProPho/47822/4.jpg","310.8","47822","как показывают фотографии","ок. 8ml","",""
"Прямоугольные штамповки из нержавеющей стали арабские штамп шаблон L002","
 Specification:
100% new retail
Size: 12cm * 6cm
Material: Stainless steel
Type: Nail Art Stamping Plates

Package Contents :
1 Pc BORN PRETTY Designer Nail Stamping Plates

Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the 5 steps for all of your nails. 
7. After nail art design, apply top coat for lasting wear.
 
","stamping nails > stamping plates","https://www.bornprettystore.com/images/ProPho/44326/dsc.jpg, https://www.bornprettystore.com/images/ProPho/44326/1.jpg, https://www.bornprettystore.com/images/ProPho/44326/2.jpg, https://www.bornprettystore.com/images/ProPho/44326/3.jpg, https://www.bornprettystore.com/images/ProPho/44326/4.jpg","478.8","44326","Как на изображении товара","","","Плиты штамповки ногтей"
"NICOLE DIARY Прямоугольник Штамповка Ногтей Тарелки Из Нержавеющей Стали Этнический Стиль Nail Art Штамп Трафареты 138","
 PRODUCT DESCRIPTION
Brand: NICOLE DIARY
Type: Stamp Plate
Quantity: 1 Pc
Size: 12cm * 6cm
Material: Stainless Steel
Type: Nail Art Stamping Plates

PACKAGE CONTENTS
1 Pc NICOLE DIARY Designer Nail Stamping Plates

HOW TO USE
1. Apply base coat or regular polish on the nail.  
2. Apply the stamping polish to desired image within a stamping plate. 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.  
4. Immediately press the stamper with a gentle rolling motion to pick up the design.  The image is transferred on the stamp.  
5. Stamp the image on your nail with a gentle rolling motion.  The image is transferred on your nail.  
6. Repeat the same steps for all of your nails.  
7. After the design is finished,  apply top coat for lasting wear. 
 
","stamping nails > stamping plates > artist collection","https://www.bornprettystore.com/images/ProPho/48204/dsc.jpg, https://www.bornprettystore.com/images/ProPho/48204/1.jpg, https://www.bornprettystore.com/images/ProPho/48204/2.jpg, https://www.bornprettystore.com/images/ProPho/48204/3.jpg","358.8","48204","Как на изображении товара","","1 шт","Штамп"
"NEE JOLIE 8 мл Бледно-лиловая серия Цветной гель-лак для ногтей Soak Off УФ-гель Лак для ногтей Цветной гель для ногтей","
 Specification:
Net Weight: 8ml
Quantity: 1 Bottle

Package Contents:
1 Bottle 8ml NEE JOLIE Pale Mauve Color UV Gel Polish

Features:
100% new retail and high quality.
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.

Professional Usage:
Step 1. Clean Nails then trim nail surface as normal process.
Step 2. Fully shake up the gel polish, it can make the gel polish color balanced. (Important)
Step 3. Apply Base coat first, which can make polish lasting longer, cure with UV lamp or LED lamp. (Necessary)
Step 4. Apply first layer of color gel polish directly, cure with UV lamp for 2 minutes or cure with LED lamp for 60 seconds.
Step 5. Apply second layer of color gel polish and then immediately cure with UV lamp for 2 minutes or cure with LED lamp for 60 seconds.
Step 6. Coat with no wipe topcoat, cured by UV lamp or LED lamp.

How to Remove UV Gel Nail Polish:
- Soak nails in a glass bowl filled with a small amount of pure acetone, or wrap each nail in cotton pad soaked with pure acetone for around 5 to 10 minutes.
- Product will start to become soft and you can gently file it away or slide it off using a small wooden stick.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately(show the label whenever possible)

  
","nail gel > color gel polish","https://www.bornprettystore.com/images/ProPho/47157/dsc.jpg, https://www.bornprettystore.com/images/ProPho/47157/1.jpg, https://www.bornprettystore.com/images/ProPho/47157/2.jpg, https://www.bornprettystore.com/images/ProPho/47157/3.jpg, https://www.bornprettystore.com/images/ProPho/47157/4.jpg","238.8","47157","Как на изображении товара","","1 бутылка",""
"3мл Биологический ремонт Карандаш Грибок для удаления пальца ног Уход за инфекцией ногтей Восстанавливает здоровые ногти","
 Specification: 
Capacity: 3ml
Pattern: As the picture show

Package Contents: 
3ml Biological Repair Pencil

Feature: 
Brand new and high quality.
Restores healthy nail condition. 
limit the excessive growth of microorganisms and inhibits the growth of fungal.
Make nails glossy, shiny and white. 

How to Use:
1. Wash and clean nail tips, then dry them.
2. Use this product two times per day, three drops in the morning and six drops in the evening. 
","nail tools > nail brush > other related","https://www.bornprettystore.com/images/ProPho/46915/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46915/1.jpg, https://www.bornprettystore.com/images/ProPho/46915/2.jpg, https://www.bornprettystore.com/images/ProPho/46915/3.jpg, https://www.bornprettystore.com/images/ProPho/46915/4.jpg","238.8","46915","Как на изображении товара","3мл","",""
"2 Узора / Лист Летающий Одуванчик Nail Art Water Decals Наклейка для Передачи BP-W13","
  Specification: 
100% brand new
Quantity: 1 Sheet Sheet Size: Approx. 12.5*6.2cm Pattern: as the picture shows


Package Contents:
1Sheet Nail Art Water Decals Transfer Sticker BORN PRETT BP-W13 

Nails Application:
1. Shape the nail with a nail file, buff and smooth the nail with a nail buffer. 
2. Apply the base color polish, wait it dry. 
3. Remove the film of product, cut out the pattern you like and soak it into water for 10-20 seconds. 
4. Moisten the fingernails, slide the pattern and place it in suitable position. 
5. Cut off the redundant part of pattern. 
6. Seal with top coat for better result. Warning: Keep out of reach of Children.


Note:
 click HERE to buy another similar Dandelion Water Decals


Click here to see the Product Review


Nail Decal Manicure Look from Tsvetoterapiya 
","stickers decals > water decals","https://www.bornprettystore.com/images/ProPho/20604/dsc.jpg, https://www.bornprettystore.com/images/ProPho/20604/1.jpg, https://www.bornprettystore.com/images/ProPho/20604/2.jpg, https://www.bornprettystore.com/images/ProPho/20604/3.jpg, https://www.bornprettystore.com/images/ProPho/20604/4.jpg","238.8","20604","Как на изображении товара","","1 лист",""
"US Warehouse 7.5 мл UR SUGAR Soak Off УФ-гель-лак для ногтей Nail Art Gel Manicure Designs","
 Specification:
Capacity: 7.5ml
Quantity: 1 bottle
Color: As the pictures show

Package Contents:
1 Bottle 7.5ml UR SUGAR Nail UV Gel Polish

Feature:
100% new retail and high quality.
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.
 
","us warehouse > gel nail polish","https://www.bornprettystore.com/images/ProPho/43213/dsc.jpg, https://www.bornprettystore.com/images/ProPho/43213/1.jpg, https://www.bornprettystore.com/images/ProPho/43213/2.jpg, https://www.bornprettystore.com/images/ProPho/43213/3.jpg, https://www.bornprettystore.com/images/ProPho/43213/4.jpg","1078.8","43213","Как на изображении товара","7.5ml","1 бутылка",""
"6 мл голографический лазерный лак для ногтей лак фиолетовый черный блестящий блеск ногтей","
 Specification:
Brand: BORN PRETTY
Quantity: 1 Bottle
Capacity: Approx. 6ml
Color: As the pictures show
 
Package Contents:
1 Bottle 6ml BORN PRETTY Holographic Nail Polish
 
Feature:
100% brand new.
The nail color in the sample picture is with : 1 layer base coat + 3 layers colored polish + top coat. 
Professional high quality nail polish ingredients which give glossy and long-lasting nail color.
Comes with brush making nail art fast and easy for everyone.
Allow you to create beautiful nail designs in short time.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible)
 
","nail polish > holographic nail polish","https://www.bornprettystore.com/images/ProPho/43654/dsc.jpg, https://www.bornprettystore.com/images/ProPho/43654/1.jpg, https://www.bornprettystore.com/images/ProPho/43654/2.jpg, https://www.bornprettystore.com/images/ProPho/43654/3.jpg, https://www.bornprettystore.com/images/ProPho/43654/4.jpg","550.8","43654","Как на изображении товара","Прибл. 6ml","1 бутылка",""
